numero_stazione,nome,stalls_geometry,anno,nil,id_nil,municipio
157,Roncaglia - Washington,POINT (9.154348316739588 45.45880186998611),2014,PORTA MAGENTA,51,6
158,Naviglio Grande - Valenza,POINT (9.16745057414255 45.44980718424918),2013,PORTA TICINESE - CONCHETTA,44,6
160,Zara M3,POINT (9.191852663487996 45.49149303339441),2012,ISOLA,11,9
161,Coni Zugna - Solari,POINT (9.16799793536569 45.45706526947181),2012,PORTA GENOVA,50,6
163,Rosario,POINT (9.162631809611547 45.45488276368077),2012,PORTA GENOVA,50,6
164,Bergognone - Tortona,POINT (9.165067119396575 45.45230976915169),2013,PORTA GENOVA,50,6
167,Foppa - Caravaggio,POINT (9.16194482773394 45.45806464106073),2012,PORTA GENOVA,50,6
168,Piazza Carbonari,POINT (9.199150596367872 45.492571900610194),2011,MACIACHINI - MAGGIOLINA,12,2
169,Vesuvio - Lipari,POINT (9.159547437866058 45.4594018921613),2013,PORTA MAGENTA,51,7
170,S. M. del Carso,POINT (9.163500670726423 45.463448368083014),2011,PORTA MAGENTA,51,7
171,Elba - Cimarosa,POINT (9.157394631349916 45.46325599758268),2012,PORTA MAGENTA,51,7
172,Napoli - Washington,POINT (9.154789270679611 45.45459972146922),2014,PORTA GENOVA,50,6
173,Vercelli - Cherubini,POINT (9.159435428581665 45.46701006809473),2012,PAGANO,68,7
174,Vercelli - Piemonte,POINT (9.155416244154974 45.46708430492251),2013,PAGANO,68,7
175,Pagano - Guido d'Arezzo,POINT (9.160470425418156 45.46818499820461),2011,PAGANO,68,7
176,Buonarroti,POINT (9.15541758083375 45.470830970092656),2013,PAGANO,68,8
178,V Alpini,POINT (9.167807573855882 45.47224538866541),2012,MAGENTA - S. VITTORE,7,1
179,Giovanni XXIII,POINT (9.164187624067027 45.47493003515734),2012,PAGANO,68,8
180,Canova - Sangiorgio,POINT (9.168357659543728 45.47531762966962),2012,PAGANO,68,1
181,Sempione - Melzi d'Eril,POINT (9.169728696907223 45.47781160729468),2012,SARPI,69,1
182,Melzi d'Eril - Cagnola,POINT (9.172919259953677 45.478308425459986),2012,SARPI,69,1
183,Domodossola FNM - Filelfo,POINT (9.162848881711108 45.48038559535331),2015,PAGANO,68,8
184,Porta Volta,POINT (9.182264243666301 45.48007280316197),2011,BRERA,2,1
185,Santissima Trinita',POINT (9.176329098054824 45.47808798449008),2012,SARPI,69,1
186,Procaccini - Gramsci,POINT (9.168344980318228 45.48197739080087),2014,SARPI,69,8
187,Sarpi - Albertini,POINT (9.17226513244496 45.481003752916685),2011,SARPI,69,8
188,Sarpi - Niccolini,POINT (9.178149817997593 45.48163617750311),2011,SARPI,69,8
190,Milizie - Tortona,POINT (9.156112022843647 45.45042821658724),2015,PORTA GENOVA,50,6
191,Farini - Quadrio,POINT (9.182111144606836 45.483958332982844),2015,PORTA GARIBALDI - PORTA NUOVA,9,9
192,Col di Lana - Col Moschin,POINT (9.184554216886495 45.45181160561009),2011,PORTA TICINESE - CONCA DEL NAVIGLIO,6,5
193,Garibaldi - Pepe,POINT (9.185046378228185 45.486722910529295),2012,PORTA GARIBALDI - PORTA NUOVA,9,9
194,Borsieri - Confalonieri,POINT (9.188382539165564 45.485424327728516),2012,ISOLA,11,9
195,Pola RL,POINT (9.1932486599137 45.48910060756533),2012,ISOLA,11,2
196,Lagosta,POINT (9.190846298910543 45.48907767400665),2012,ISOLA,11,9
199,Galvani - Restelli - RL,POINT (9.196687353271798 45.48768177831908),2014,PORTA GARIBALDI - PORTA NUOVA,9,9
200,P.zza Luigi di Savoia,POINT (9.206197837454166 45.48497130992497),2011,STAZIONE CENTRALE - PONTE SEVESO,10,2
201,IV Novembre,POINT (9.203739555625406 45.48734360653562),2011,STAZIONE CENTRALE - PONTE SEVESO,10,2
203,Taramelli RL,POINT (9.19376891047457 45.490657830888054),2012,ISOLA,11,2
204,Valtellina - Farini,POINT (9.18223528151395 45.48904931001256),2015,ISOLA,11,9
206,Friuli,POINT (9.213679921100912 45.4548876665073),2013,XXII MARZO,26,4
208,Brianza - Venini,POINT (9.212667927247024 45.487788015021195),2015,LORETO - CASORETTO - NOLO,20,2
224,VI Febbraio,POINT (9.160594307693634 45.47678784069609),2015,PAGANO,68,8
225,Chiesa - E. Filiberto,POINT (9.156582996048526 45.48481661608538),2015,PORTELLO,67,8
226,Lotto,POINT (9.143334422673556 45.47986915859835),2015,DE ANGELI - MONTE ROSA,58,8
227,Zavattari - Tempesta,POINT (9.14366193006109 45.47587495704799),2015,DE ANGELI - MONTE ROSA,58,7
232,De Angeli - R. Sanzio,POINT (9.150562886848883 45.46706353057626),2015,DE ANGELI - MONTE ROSA,58,7
236,Mac Mahon - Caracciolo,POINT (9.161012126789663 45.49122130215151),2015,GHISOLFA,70,8
237,Caneva - Tolentino,POINT (9.160732630904361 45.48819189410647),2015,GHISOLFA,70,8
238,Govone - Borgese,POINT (9.168999627160714 45.488410117745005),2015,GHISOLFA,70,8
