numero_stazione,nome_stazione,longitudine,latitudine,cluster,lon_cluster,lat_cluster,cluster_id_nil,cluster_nil
136,Monte Nero - Spartaco,9.207674338139586,45.46014193431468,35,9.206360107929576,45.460416549801586,4,GUASTALLA
137,Sempione - RAI,9.166725188458814,45.47947710628614,33,9.169111767074,45.480819416667906,69,SARPI
138,Cadore - Pinaroli,9.213132486924737,45.45830468883101,16,9.213527397799798,45.462580172199964,26,XXII MARZO
139,Lazio - Vasari - Morosini,9.20804685949036,45.45523954502686,6,9.210856075371,45.45239945282402,27,PTA ROMANA
140,Cirene - Friuli,9.212481272086078,45.45344138019174,6,9.210856075371,45.45239945282402,27,PTA ROMANA
141,Caldara - Curtatone,9.202932286630446,45.4551483243492,14,9.202723290182115,45.45147699043599,27,PTA ROMANA
142,Tiraboschi - Muratori,9.208689989178742,45.45222439705576,6,9.210856075371,45.45239945282402,27,PTA ROMANA
143,Lodi - Papi,9.2067552937474,45.44996196254851,14,9.202723290182115,45.45147699043599,27,PTA ROMANA
144,Brescia,9.145425107028268,45.47160112302908,24,9.146932657885024,45.47370431139837,58,DE ANGELI - MONTE ROSA
146,Crema - Giulio Romano,9.202734775540431,45.44806303001857,14,9.202723290182115,45.45147699043599,27,PTA ROMANA
147,Ripamonti - Bellezza,9.197224446017652,45.44880498620754,8,9.19089698148961,45.45000823656744,5,PORTA VIGENTINA - PORTA LODOVICA
148,Bocconi 3 - I. Aragona,9.190541420353984,45.45117523424748,8,9.19089698148961,45.45000823656744,5,PORTA VIGENTINA - PORTA LODOVICA
150,Sraffa,9.186069844599396,45.44833812150392,8,9.19089698148961,45.45000823656744,5,PORTA VIGENTINA - PORTA LODOVICA
151,Balilla - Tibaldi,9.182642660800637,45.44463070396924,31,9.17731246588519,45.44548953071364,6,PORTA TICINESE - CONCA DEL NAVIGLIO
152,San Gottardo - Gentilino,9.180093940737024,45.44891671338399,20,9.180512578796787,45.452092889306236,6,PORTA TICINESE - CONCA DEL NAVIGLIO
153,Segantini - Darwin,9.172744667775984,45.4457543778796,31,9.17731246588519,45.44548953071364,6,PORTA TICINESE - CONCA DEL NAVIGLIO
154,Ascanio Sforza - Pavia,9.177492616815387,45.44736501271964,31,9.17731246588519,45.44548953071364,6,PORTA TICINESE - CONCA DEL NAVIGLIO
155,Naviglio Pavese - Torricelli,9.176369918148753,45.44420802828608,31,9.17731246588519,45.44548953071364,6,PORTA TICINESE - CONCA DEL NAVIGLIO
156,Arcole - Argelati,9.172707012932683,45.44963608797607,1,9.169255922191581,45.45293322577026,44,PORTA TICINESE - CONCHETTA
157,Roncaglia - Washington,9.154348316739588,45.45880186998611,38,9.159618097987783,45.457787791722225,51,PORTA MAGENTA
158,Naviglio Grande - Valenza,9.16745057414255,45.44980718424918,1,9.169255922191581,45.45293322577026,44,PORTA TICINESE - CONCHETTA
160,Zara M3,9.191852663487996,45.49149303339441,40,9.192429133196702,45.49008228646361,11,ISOLA
161,Coni Zugna - Solari,9.16799793536569,45.45706526947181,1,9.169255922191581,45.45293322577026,44,PORTA TICINESE - CONCHETTA
163,Rosario,9.162631809611549,45.45488276368077,38,9.159618097987783,45.457787791722225,51,PORTA MAGENTA
164,Bergognone - Tortona,9.165067119396577,45.45230976915169,1,9.169255922191581,45.45293322577026,44,PORTA TICINESE - CONCHETTA
167,Foppa - Caravaggio,9.16194482773394,45.45806464106073,38,9.159618097987783,45.457787791722225,51,PORTA MAGENTA
168,Piazza Carbonari,9.199150596367872,45.492571900610194,30,9.200688291644193,45.49163288944368,12,MACIACHINI - MAGGIOLINA
169,Vesuvio - Lipari,9.159547437866058,45.4594018921613,38,9.159618097987783,45.457787791722225,51,PORTA MAGENTA
170,S. M. del Carso,9.163500670726425,45.46344836808301,11,9.16526852231605,45.46275872929673,7,MAGENTA - S. VITTORE
171,Elba - Cimarosa,9.157394631349916,45.46325599758268,9,9.156449532864558,45.46723831157891,68,PAGANO
172,Napoli - Washington,9.154789270679611,45.45459972146922,21,9.15545064676163,45.45251396902823,50,PORTA GENOVA
173,Vercelli - Cherubini,9.159435428581665,45.46701006809473,9,9.156449532864558,45.46723831157891,68,PAGANO
174,Vercelli - Piemonte,9.155416244154974,45.46708430492251,9,9.156449532864558,45.46723831157891,68,PAGANO
