numero_stazione,nome,municipio,anno,geometry
001,Duomo,1,2008,POINT (9.189141462641917 45.46474597340785)
402,San Babila Bis,1,2008,POINT (9.19725017347504 45.466266136493175)
003,Cadorna 1,1,2008,POINT (9.175661673055156 45.46800286489534)
004,Lanza,1,2008,POINT (9.181970059045605 45.47227398001715)
005,Universita' Cattolica,1,2008,POINT (9.176411553596575 45.46312096737842)
006,San Giorgio,1,2008,POINT (9.18366605858828 45.46088788086489)
007,Santa Maria Beltrade,1,2008,POINT (9.186745326611513 45.46284824996911)
008,Velasca,1,2008,POINT (9.19029606587832 45.46010042667759)
009,S. Stefano,1,2008,POINT (9.195239434282264 45.46237015894886)
010,Missori,1,2008,POINT (9.18824619107111 45.46131859260033)
011,Castello - Acquario civico,1,2008,POINT (9.179319559595502 45.47251701348578)
012,"San Lorenzo - ""Colonne""",1,2008,POINT (9.181626953089728 45.458603445990924)
013,Senato,1,2008,POINT (9.197534248930417 45.47050593175577)
014,San Barnaba H Mangiagalli,1,2008,POINT (9.198447697731357 45.459513745263436)
015,Cantore,6,2008,POINT (9.172674371555331 45.45587366154497)
016,Moscova,1,2009,POINT (9.184533827608986 45.477544986253605)
017,Legnano Arena civica,1,2008,POINT (9.180886079168731 45.477148321057975)
018,Tommaseo,1,2008,POINT (9.166652007489404 45.46955639845393)
019,Italia - Santa Sofia,1,2008,POINT (9.187449835324339 45.45574184357932)
020,Erculea,1,2008,POINT (9.189644818998417 45.45909579652023)
021,Universita' Bocconi,5,2008,POINT (9.190409240070856 45.448632567295896)
022,Medaglie d'Oro 1,4,2008,POINT (9.203350422343458 45.45161201948631)
023,Regina Margherita,1,2008,POINT (9.205300766700963 45.45825047191478)
024,Tricolore,1,2008,POINT (9.20602256554318 45.46781447936755)
025,Centrale 1,2,2008,POINT (9.202492563661446 45.48541018794012)
026,Centrale 2,2,2008,POINT (9.204244247011944 45.48453931744756)
027,Porta Venezia,1,2008,POINT (9.204531507779365 45.474635549239636)
028,San Giovanni sul Muro,1,2008,POINT (9.181432580678795 45.467565705287264)
029,San Pietro in Gessate,1,2008,POINT (9.20139318404943 45.46239174038339)
030,Crocetta,1,2008,POINT (9.195717519846108 45.45622444568411)
031,Brenta MM,4,2014,POINT (9.219296185939635 45.442681678642934)
032,Manin - Bastioni,1,2008,POINT (9.198315723354154 45.47685983498168)
033,Triennale,1,2008,POINT (9.173652222122323 45.47181390614776)
034,Cairoli,1,2008,POINT (9.182153751483126 45.46765301744008)
035,Torino - Carrobbio,1,2008,POINT (9.181883322281033 45.46049099047892)
036,San Vito,1,2008,POINT (9.18372934798512 45.45924090413592)
037,Italia - San Martino,1,2008,POINT (9.186972410448341 45.45316119645458)
038,XXIV Maggio,5,2009,POINT (9.179554424983023 45.45222059568153)
039,XXV Aprile,1,2008,POINT (9.186674174078771 45.4801729977672)
040,Morozzo della Rocca,1,2008,POINT (9.16893363778206 45.46397162386378)
041,Conciliazione,1,2008,POINT (9.166966088597944 45.46771276118004)
042,San Pietro all'Orto,1,2008,POINT (9.195572885849401 45.46620493857327)
043,Festa del Perdono,1,2008,POINT (9.194770824468488 45.46140588036046)
044,Richini,1,2008,POINT (9.19301237029974 45.45943633843248)
045,Cantu',1,2008,POINT (9.186660648421514 45.4641772256337)
046,Porta Nuova,9,2008,POINT (9.192836682240376 45.48004008793847)
047,Gorizia 1,6,2008,POINT (9.177521970856178 45.45232497230397)
048,Gorizia 2,6,2008,POINT (9.177624950922617 45.45221591718225)
049,Meda,1,2008,POINT (9.193060819392255 45.46639649446848)
050,Beccaria,1,2008,POINT (9.194666594256322 45.46438849783873)
051,Santa Maria delle Grazie,1,2008,POINT (9.169620830008263 45.46671676427905)
052,Vittor Pisani,2,2008,POINT (9.199212314860377 45.480507795561024)
053,Palestro 1,1,2008,POINT (9.201831925492375 45.4722871789512)
054,Sant'Eustorgio - P.ta Ticinese,1,2008,POINT (9.18083834052121 45.45519055955162)
055,Cinque Giornate,1,2008,POINT (9.207019319131126 45.46266904826596)
056,Bastioni di Porta Venezia,1,2008,POINT (9.20050143838772 45.475973088438)
057,Brera,1,2008,POINT (9.187641249068582 45.47159128297687)
059,Palestro 2,1,2008,POINT (9.201575814117252 45.47241708204282)
060,Edison,1,2008,POINT (9.18351452172416 45.46433384169186)
061,Augusto,1,2008,POINT (9.19839115246274 45.46325584232261)
062,Treves,1,2008,POINT (9.18678789945444 45.47504500866883)
063,Sant'Ambrogio,1,2008,POINT (9.17411567564591 45.461959204192645)
064,Diaz,1,2008,POINT (9.189861993578571 45.46309679870541)
065,Bertarelli,1,2008,POINT (9.187493249627513 45.458586868726165)
066,Cavour,1,2008,POINT (9.196340516992198 45.47301620256426)
067,Repubblica,2,2008,POINT (9.19654525393699 45.47908110528522)
068,Rotonda della Besana,1,2008,POINT (9.205446007746632 45.46060474471093)
069,S. Nazaro in Brolo,1,2009,POINT (9.192644706048462 45.45830220922638)
070,Fatebenefratelli,1,2008,POINT (9.190114222786791 45.473150088570854)
071,Medaglie d'Oro 2,4,2009,POINT (9.203000636454071 45.451848460868376)
072,Cardinal Ferrari,1,2008,POINT (9.19276821062689 45.456708930328986)
073,Majno - Baretti,1,2009,POINT (9.20491361564008 45.47149759930991)
074,Dante - San Tomaso,1,2009,POINT (9.184080776626033 45.4670760525911)
075,Cusani,1,2009,POINT (9.185006033581939 45.46874961887305)
076,Mentana,1,2009,POINT (9.181956861288182 45.461778997159065)
077,Sant'Angelo - P.ta Nuova,1,2009,POINT (9.19180363864132 45.47672771229414)
078,Aquileia,7,2009,POINT (9.163371258439662 45.4608561959434)
079,Baracca,1,2009,POINT (9.165491737988278 45.466712668618655)
080,Manzoni,1,2009,POINT (9.192389581720269 45.47124117941638)
081,Universita' Bocconi 2 - Bach,5,2009,POINT (9.190909071789106 45.44827924374422)
082,Dell'Umanitaria,1,2009,POINT (9.200629496375292 45.45815920541402)
083,Rastrelli - Pecorari,1,2009,POINT (9.191042418135309 45.46235582380558)
084,Cadorna 2,1,2009,POINT (9.176161792703473 45.46904358964863)
085,D'Ancona,1,2009,POINT (9.175806483389378 45.46570272201069)
086,Mascagni,1,2009,POINT (9.203115444383737 45.46539707898497)
087,Porta Genova,6,2012,POINT (9.169638519756658 45.45290738222781)
088,Beatrice d'Este - Cassolo,1,2009,POINT (9.197566326376887 45.452228145344975)
089,Patellani,5,2009,POINT (9.194152437147938 45.45166630651848)
091,Gioia - Pirelli,9,2009,POINT (9.195902455633338 45.484042757604946)
092,Cordusio - Casati,1,2009,POINT (9.185506510643659 45.46548549680914)
093,Borgogna,1,2009,POINT (9.19978661686939 45.46584404985675)
094,Cadorna 3,1,2012,POINT (9.176262780830227 45.46807109936462)
095,De Amicis - Conca Del Naviglio,1,2009,POINT (9.178649094358283 45.45828448644008)
096,"Donizzetti ""Provincia""",1,2009,POINT (9.204456466881402 45.46733553768258)
097,Molino delle Armi,1,2009,POINT (9.182327954323013 45.45699415579502)
098,San Marco,1,2009,POINT (9.189236648396802 45.47876873001231)
099,Arco della Pace 1 - Bertani,1,2009,POINT (9.173448947562825 45.47620016202649)
100,Palazzo Marino - Caserotte,1,2012,POINT (9.191349344684747 45.46676603340708)
101,Gadio - Paleocapa,1,2009,POINT (9.175636615335556 45.47008609484404)
102,Arcivescovado,1,2009,POINT (9.193153087856397 45.46379418124931)
103,Arco della Pace 2 - Pagano,1,2009,POINT (9.17165611710772 45.475036032075906)
104,"M. Gioia - ""Regione""",9,2011,POINT (9.196800099015855 45.486156431752164)
105,Piazzale Lodi,4,2011,POINT (9.209905983366593 45.447748562979434)
106,Restelli - Galvani RL 1,9,2012,POINT (9.194633674315195 45.48730634212419)
107,S. Gioachimo,9,2012,POINT (9.197010449403571 45.48087616959989)
108,Tunisia - Cozzi,2,2011,POINT (9.201576058276487 45.47896542443961)
109,Tunisia Lecco Bellintani,3,2013,POINT (9.20475566650321 45.47746092852826)
110,S. F. Romana,3,2012,POINT (9.208494775863223 45.476338203101804)
111,B. Marcello - Boscovich,3,2013,POINT (9.20755217712876 45.48022160833556)
112,Napo Torriani De Lellis,2,2011,POINT (9.203226540091675 45.48253544959739)
113,Buenos Aires - Lima,3,2012,POINT (9.211366416146555 45.480369750646595)
114,Buenos Aires - Argentina,3,2012,POINT (9.214765034326312 45.483813775463574)
115,Caiazzo,2,2013,POINT (9.209141888000179 45.48525447460935)
116,Morgagni - Redi,3,2012,POINT (9.211879645937863 45.477850743717696)
117,Bacone - Monteverdi,3,2013,POINT (9.214935051139857 45.481473385314686)
118,VIII novembre - Ramazzini,3,2012,POINT (9.211157807557397 45.47509789702365)
119,Settembrini - Vitruvio,3,2012,POINT (9.206911904099574 45.482554103396915)
120,F. Filzi,2,2011,POINT (9.20042321771544 45.48445379226416)
121,Melchiorre Gioia - Galvani,9,2013,POINT (9.197959364780022 45.486693589120165)
122,Bassini - Grossich,3,2014,POINT (9.23488626783269 45.48094113791417)
123,Castel Morrone - M.A. di Savoia,3,2012,POINT (9.214576060565843 45.47257949995856)
124,Porta Venezia 2,3,2012,POINT (9.205117344455823 45.47507410007925)
125,Fratelli Bandiera,3,2012,POINT (9.210539129311874 45.470545514650105)
126,Modena - Castel Morrone,3,2012,POINT (9.214245280119684 45.47085670097394)
127,Risorgimento,3,2012,POINT (9.210778669646656 45.468159423178605)
128,Indipendenza - Castel Morrone,3,2012,POINT (9.214342942182018 45.46827979293747)
129,Fiamma,4,2012,POINT (9.21137942996907 45.464603663571694)
130,XXII Marzo,4,2011,POINT (9.212473928037905 45.46215871433246)
131,Emilia - Piceno,4,2012,POINT (9.21606853083627 45.46250872867429)
132,Bronzetti - Archimede,4,2012,POINT (9.214582613231006 45.46532506559038)
133,Dateo,3,2012,POINT (9.21665548983285 45.46844806277919)
134,Teodosio - Porpora,3,2016,POINT (9.230021971395088 45.486365179429974)
135,Muratori - Umbria,4,2013,POINT (9.212332427003314 45.450855165183)
136,Monte Nero - Spartaco,4,2011,POINT (9.207674338139586 45.46014193431468)
137,Sempione - RAI,8,2012,POINT (9.166725188458814 45.47947710628614)
138,Cadore - Pinaroli,4,2013,POINT (9.213132486924737 45.45830468883101)
139,Lazio - Vasari - Morosini,4,2012,POINT (9.20804685949036 45.45523954502686)
140,Cirene - Friuli,4,2013,POINT (9.212481272086078 45.45344138019174)
141,Caldara - Curtatone,1,2011,POINT (9.202932286630446 45.4551483243492)
142,Tiraboschi - Muratori,4,2014,POINT (9.208689989178742 45.45222439705576)
143,Lodi - Papi,4,2011,POINT (9.206755293747399 45.44996196254851)
144,Brescia,7,2014,POINT (9.145425107028267 45.471601123029075)
145,Lombardia - Vallazze,3,2014,POINT (9.223717027400392 45.48412143496269)
146,Crema - Giulio Romano,5,2013,POINT (9.202734775540431 45.44806303001857)
147,Ripamonti - Bellezza,5,2012,POINT (9.197224446017652 45.44880498620754)
148,Bocconi 3 - I. Aragona,5,2011,POINT (9.190541420353984 45.45117523424748)
149,Bonomelli,5,2015,POINT (9.21349817064826 45.44065529563903)
150,Sraffa,5,2013,POINT (9.186069844599396 45.44833812150392)
151,Balilla - Tibaldi,5,2011,POINT (9.182642660800637 45.44463070396924)
152,San Gottardo - Gentilino,5,2013,POINT (9.180093940737024 45.44891671338399)
153,Segantini - Darwin,6,2013,POINT (9.172744667775984 45.445754377879595)
154,Ascanio Sforza - Pavia,5,2012,POINT (9.177492616815389 45.44736501271964)
155,Naviglio Pavese - Torricelli,5,2013,POINT (9.176369918148753 45.44420802828608)
156,Arcole - Argelati,6,2013,POINT (9.172707012932683 45.44963608797607)
157,Roncaglia - Washington,6,2014,POINT (9.154348316739588 45.45880186998611)
158,Naviglio Grande - Valenza,6,2013,POINT (9.16745057414255 45.44980718424918)
159,Gorini - Strambio,3,2014,POINT (9.23101716173386 45.47338889489324)
160,Zara M3,9,2012,POINT (9.191852663487996 45.49149303339441)
161,Coni Zugna - Solari,6,2012,POINT (9.16799793536569 45.45706526947181)
162,Piola,3,2014,POINT (9.22465005652746 45.48065989436746)
163,Rosario,6,2012,POINT (9.162631809611547 45.45488276368077)
164,Bergognone - Tortona,6,2013,POINT (9.165067119396575 45.45230976915169)
165,Savona - Tolstoj,6,2014,POINT (9.151212239912272 45.450009668156106)
166,Dezza - Caravaggio,7,2012,POINT (9.162736007885368 45.459528490945125)
167,Foppa - Caravaggio,6,2012,POINT (9.16194482773394 45.45806464106073)
169,Vesuvio - Lipari,7,2013,POINT (9.159547437866058 45.4594018921613)
170,S. M. del Carso,7,2011,POINT (9.163500670726423 45.463448368083014)
171,Elba - Cimarosa,7,2012,POINT (9.157394631349916 45.46325599758268)
172,Napoli - Washington,6,2014,POINT (9.154789270679611 45.45459972146922)
173,Vercelli - Cherubini,7,2012,POINT (9.159435428581665 45.46701006809473)
174,Vercelli - Piemonte,7,2013,POINT (9.155416244154974 45.46708430492251)
175,Pagano - Guido d'Arezzo,7,2011,POINT (9.160470425418156 45.46818499820461)
176,Buonarroti,8,2013,POINT (9.15541758083375 45.470830970092656)
178,V Alpini,1,2012,POINT (9.167807573855882 45.47224538866541)
179,Giovanni XXIII,8,2012,POINT (9.164187624067027 45.47493003515734)
180,Canova - Sangiorgio,1,2012,POINT (9.168357659543728 45.47531762966962)
181,Sempione - Melzi d'Eril,1,2012,POINT (9.169728696907223 45.47781160729468)
182,Melzi d'Eril - Cagnola,1,2012,POINT (9.172919259953677 45.478308425459986)
183,Domodossola FNM - Filelfo,8,2015,POINT (9.162848881711108 45.48038559535331)
184,Porta Volta,1,2011,POINT (9.182264243666301 45.48007280316197)
185,Santissima Trinita',1,2012,POINT (9.176329098054824 45.47808798449008)
186,Procaccini - Gramsci,8,2014,POINT (9.168344980318228 45.48197739080087)
187,Sarpi - Albertini,8,2011,POINT (9.17226513244496 45.481003752916685)
188,Sarpi - Niccolini,8,2011,POINT (9.178149817997593 45.48163617750311)
189,Procaccini - Cimitero Monumentale,8,2012,POINT (9.177200004607887 45.48389293628534)
190,Milizie - Tortona,6,2015,POINT (9.156112022843647 45.45042821658724)
191,Farini - Quadrio,9,2015,POINT (9.182111144606836 45.483958332982844)
192,Col di Lana - Col Moschin,5,2011,POINT (9.184554216886495 45.45181160561009)
193,Garibaldi - Pepe,9,2012,POINT (9.185046378228185 45.486722910529295)
194,Borsieri - Confalonieri,9,2012,POINT (9.188382539165564 45.485424327728516)
195,Pola RL,2,2012,POINT (9.1932486599137 45.48910060756533)
196,Lagosta,9,2012,POINT (9.190846298910543 45.48907767400665)
197,Garibaldi - Sturzo,9,2016,POINT (9.188506361790033 45.483813882768544)
199,Galvani - Restelli - RL,9,2014,POINT (9.196687353271798 45.48768177831908)
200,P.zza Luigi di Savoia,2,2011,POINT (9.206197837454166 45.48497130992497)
201,IV Novembre,2,2011,POINT (9.203739555625406 45.48734360653562)
202,Marche - Zara,9,2018,POINT (9.194028672643201 45.49570069357435)
203,Taramelli RL,2,2012,POINT (9.19376891047457 45.490657830888054)
204,Valtellina - Farini,9,2015,POINT (9.18223528151395 45.48904931001256)
205,Teodosio - Pacini,3,2015,POINT (9.23005987358211 45.48294034615682)
206,Friuli,4,2013,POINT (9.213679921100912 45.4548876665073)
207,Loreto 1,3,2015,POINT (9.21741899942953 45.48573891911389)
208,Brianza - Venini,2,2015,POINT (9.212667927247024 45.487788015021195)
210,Aspromonte - Pecchio,3,2014,POINT (9.219393026803077 45.48397164490336)
212,Verrocchio - Juvara,3,2013,POINT (9.219764435631799 45.473256878098105)
213,Novelli - Carnaghi,3,2013,POINT (9.220572010644407 45.470807058395565)
214,Susa - Sidoli,3,2013,POINT (9.223980805356588 45.46886934825326)
215,Politecnico,3,2013,POINT (9.226158327761224 45.47865958512522)
216,Romagna - Pascoli,3,2013,POINT (9.224354345525105 45.4764868486331)
264,Rio De Janeiro - Sarto,3,2016,POINT (9.223625611402378 45.472590987654705)
219,Firenze,8,2016,POINT (9.155855108331874 45.48737871194248)
221,Accursio - Portello,8,2015,POINT (9.145890357503111 45.490909149508575)
222,Durante - D'Aviano,2,2016,POINT (9.222107451771832 45.48879937806057)
224,VI Febbraio,8,2015,POINT (9.160594307693634 45.47678784069609)
225,Chiesa - E. Filiberto,8,2015,POINT (9.156582996048526 45.48481661608538)
226,Lotto,8,2015,POINT (9.143334422673556 45.47986915859835)
227,Zavattari - Tempesta,7,2015,POINT (9.14366193006109 45.47587495704799)
229,QT8 - Isernia,8,2015,POINT (9.137012946718757 45.48667220181463)
232,De Angeli - R. Sanzio,7,2015,POINT (9.150562886848883 45.46706353057626)
233,Mac Mahon - Artieri,8,2015,POINT (9.154977357324555 45.49587768737185)
235,Certosa - Monteceneri,8,2018,POINT (9.15186566395088 45.48973830331797)
236,Mac Mahon - Caracciolo,8,2015,POINT (9.161012126789663 45.49122130215151)
237,Caneva - Tolentino,8,2015,POINT (9.160732630904361 45.48819189410647)
238,Govone - Borgese,8,2015,POINT (9.168999627160714 45.488410117745005)
239,Marussig - Castelvetro,8,2015,POINT (9.166089000309636 45.48637906637643)
241,Stuparich - Albani,8,2015,POINT (9.144220664805479 45.48292086628227)
248,Teodorico - Gattamelata,8,2015,POINT (9.151537094286564 45.48445832985374)
249,Vigliani - Scarampo,8,2015,POINT (9.148235562555598 45.48246785380862)
250,Castelli - Ailanti,8,2015,POINT (9.1521012402972 45.499451578380004)
251,Villapizzone FFSS - Lambruschini,9,2015,POINT (9.152631498198657 45.5023805336848)
252,Bovisa - Lambruschini,9,2015,POINT (9.158565479641519 45.50210695359017)
253,Bovisa Passante 1 - Alfieri,9,2015,POINT (9.160787873303201 45.50274040064807)
254,Bausan - Brofferio,9,2015,POINT (9.164807709907356 45.502653972369)
255,Nigra - Castellini,9,2015,POINT (9.170590821062273 45.49626265389929)
256,Lancetti Passante - Maloja,9,2015,POINT (9.176459044788894 45.49484289176747)
257,Valtellina - Aprica,9,2015,POINT (9.182439757376377 45.49301023176412)
258,Maciachini - Marche,9,2015,POINT (9.186905045606755 45.49806575110247)
259,Amendola M1,8,2015,POINT (9.151710936565717 45.473636854118055)
260,Baldinucci - Maffucci,9,2015,POINT (9.169208450831796 45.50350169292918)
261,Imbonati - Dergano M3,9,2015,POINT (9.179862939490935 45.505390109585235)
262,Livigno - Monte San Genesio,9,2015,POINT (9.178449719620934 45.500157023153456)
263,Castello,1,2015,POINT (9.1794501325661 45.46867593282608)
266,Sauli - Battaglia,2,2018,POINT (9.213300794189887 45.49107804534471)
265,Arduino,8,2017,POINT (9.151266185958026 45.4771175319412)
270,Stelvio - Farini,9,2015,POINT (9.184962599752463 45.49479276404717)
280,Murat - Villani - Milano Sport,9,2015,POINT (9.190641598207055 45.49961272432957)
281,Stefini - Ressi,2,2016,POINT (9.203000448492634 45.49682229569974)
282,Dergano,9,2015,POINT (9.176923183343952 45.503165174958546)
283,Reni - Guardi,3,2015,POINT (9.225892294950997 45.47064185138246)
296,Gioia - Cassina de Pomm,2,2015,POINT (9.208140415769565 45.49666801750411)
301,Toscana - Leoni,5,2015,POINT (9.193685491650939 45.446152066589846)
302,De Angeli - Ripamonti,5,2015,POINT (9.198376412585267 45.443321187979514)
303,Benaco - Brembo,4,2016,POINT (9.212012182746589 45.444367665102014)
304,Adamello - Lorenzini,5,2015,POINT (9.203104543746488 45.443413458958155)
305,Spadolini - Centro Leoni,5,2015,POINT (9.18966073021133 45.44309891514451)
307,Piazzi - Bernina,9,2015,POINT (9.181075233590587 45.494496052481196)
309,Carlo Magno - Alcuino,8,2015,POINT (9.155818453121435 45.4815012168721)
310,Istria M5 - F. Testi,2,2015,POINT (9.198356942128772 45.501721251367876)
311,De Marchi - Lucini,2,2016,POINT (9.208898037148474 45.500269158233685)
312,De Marchi - Bottelli,2,2016,POINT (9.211346152794402 45.50336340525777)
313,Ca Granda - F.Testi,9,2015,POINT (9.200018024656117 45.50670757150106)
315,Ospedale Maggiore,9,2015,POINT (9.189669803752018 45.50844236138911)
317,Alserio - Cola Montano,9,2016,POINT (9.18567547487253 45.491038551812544)
319,Gioia - Cagliero,2,2016,POINT (9.20594634036843 45.493580595857104)
321,Piazzale Nizza,9,2015,POINT (9.1887727351742 45.50340532852261)
322,Bicocca M5 - Pulci,9,2015,POINT (9.20597147325402 45.5141619040369)
323,Temolo - Innovazione,9,2015,POINT (9.210741693677196 45.51136985988243)
324,Staz. Greco Pirelli - Cozzi,9,2016,POINT (9.213479029262798 45.51270849622365)
325,Romolo M2,6,2015,POINT (9.167604907105668 45.4435437096955)
326,Arcimboldi - Innovazione,9,2018,POINT (9.213902989244088 45.51583185221287)
327,Pirelli - UNI Bicocca,9,2016,POINT (9.212875880338748 45.51860024176323)
328,Bussero - F. Testi,9,2015,POINT (9.206946461021309 45.518755841825346)
329,Chiese - F. Testi,9,2015,POINT (9.210340412354954 45.52234598743702)
330,Suzzani - Arezzo,9,2015,POINT (9.209384592357056 45.526870965986724)
