id_amat;ubicazione;linee;LONG_X_4326;LAT_Y_4326;Location
10001;"Via Matteotti, 19 prima di Via Cavour";89;9.1409928380588;45.5315142888777;"(45.5315142888777, 9.1409928380588)"
10002;"Via Cavour, 32/e dopo Via Morandi (ACI)";89;9.14445524902009;45.5323077151981;"(45.5323077151981, 9.14445524902009)"
10003;"Via Bovisasca, 18 dopo Via C.Battisti";89;9.14825811356353;45.5269056419672;"(45.5269056419672, 9.14825811356353)"
10008;"Via Bovisasca, 15/A prima di Via Baracca";89;9.14845459686126;45.5267523716675;"(45.5267523716675, 9.14845459686126)"
10009;Via Rimembranze prima di Via Cornicione;89;9.14378251859864;45.5300346693961;"(45.5300346693961, 9.14378251859864)"
10018;"C.so Sempione, 83 prima di Via E. Filiberto";48;9.15805393535531;45.4862832229375;"(45.4862832229375, 9.15805393535531)"
10021;Viale Alfa Romeo fronte civico 17;561;9.05271297848241;45.558407717848;"(45.558407717848, 9.05271297848241)"
10022;Via Mosca prima V.Val Cavallina;63;9.07121724023575;45.4521407595849;"(45.4521407595849, 9.07121724023575)"
10023;Via Mosca prima di Via Spinazzola;63;9.07367294128025;45.4535928773254;"(45.4535928773254, 9.07367294128025)"
10024;"Via Mosca, 42 dopo Via Spinazzola";63;9.0735163115561;45.4536199808962;"(45.4536199808962, 9.0735163115561)"
10025;Viale Alfa Romeo dopo Museo Alfa Romeo;561;9.05247068515477;45.5570308569446;"(45.5570308569446, 9.05247068515477)"
10026;Via Bergognone dopo via Foppa;68;9.16100174558982;45.4576663612257;"(45.4576663612257, 9.16100174558982)"
10027;Via dei Salici dopo 6;"63,151";9.07940169892708;45.4530939984585;"(45.4530939984585, 9.07940169892708)"
10028;"Via degli Ontani, 26 dopo Via degli Ulivi";"63,151";9.07872245158139;45.4543636130726;"(45.4543636130726, 9.07872245158139)"
10029;Via dei Salici dopo Via degli Ippocastani;"63,151";9.08085577973083;45.451513300007;"(45.451513300007, 9.08085577973083)"
10030;"Via Fermi, 19";423;9.07375504965531;45.4749792530311;"(45.4749792530311, 9.07375504965531)"
10031;"Via Fermi, 17";423;9.07386352762448;45.4747721601338;"(45.4747721601338, 9.07386352762448)"
10032;Via Fermi prima di Via Galvani;423;9.07622807402364;45.4730604223203;"(45.4730604223203, 9.07622807402364)"
10033;Via Fermi prima di Via Ampere;423;9.07620108741543;45.4732089568802;"(45.4732089568802, 9.07620108741543)"
10034;"Via Fermi, 31 dopo Via Einstein";423;9.07106293091946;45.4770376809501;"(45.4770376809501, 9.07106293091946)"
10035;Via Fermi dopo di Via Volta;423;9.07080429604442;45.4773978808615;"(45.4773978808615, 9.07080429604442)"
10036;Via Turbigo prima di Via Novara;80;9.07168683593632;45.4898547052077;"(45.4898547052077, 9.07168683593632)"
10037;Via Novara prima di Via Novara;80;9.07296302636433;45.4891921577252;"(45.4891921577252, 9.07296302636433)"
10038;"Via Zanzottera, prima di Via Anghileri";80;9.07283613706115;45.4927177871374;"(45.4927177871374, 9.07283613706115)"
10040;Via Bergognone prima di Via Foppa;68;9.16139240149081;45.457761312038;"(45.457761312038, 9.16139240149081)"
10041;Via Morelli dopo Via Silla;80;9.07685656656351;45.493159218846;"(45.493159218846, 9.07685656656351)"
10043;Via Novara altezza ingresso (Parco auto rimosse);80;9.07855730979322;45.4867728606384;"(45.4867728606384, 9.07855730979322)"
10046;"Via Valsesia, 66";58;9.09522877487905;45.4539058658379;"(45.4539058658379, 9.09522877487905)"
10047;Via Valsesia fronte 66;58;9.09550495082517;45.4537442834533;"(45.4537442834533, 9.09550495082517)"
10048;"Via Valsesia, 44";58;9.1002439109849;45.4526927768475;"(45.4526927768475, 9.1002439109849)"
10049;Via Valsesia fronte 44;58;9.1000078273213;45.4525094608763;"(45.4525094608763, 9.1000078273213)"
10050;"Via Valsesia, 34 dopo Via Nitti";58;9.10082030495405;45.454265301872;"(45.454265301872, 9.10082030495405)"
10051;Via Valsesia fronte 34 prima di Via Nitti;58;9.10088924628494;45.4543777541779;"(45.4543777541779, 9.10088924628494)"
10052;Via Lucca fronte 58 dopo Via Viterbo;58;9.10420680382403;45.4545818094306;"(45.4545818094306, 9.10420680382403)"
10053;Via Lucca prima di Via Viterbo;58;9.10391321328906;45.4548881112946;"(45.4548881112946, 9.10391321328906)"
10054;"Via Lucca, 46";58;9.10688489077797;45.4547683645271;"(45.4547683645271, 9.10688489077797)"
10055;Via Lucca fronte 44;58;9.10712138064535;45.4547096369455;"(45.4547096369455, 9.10712138064535)"
10057;Via Cividale del Friuli dopo Via Valsesia;63;9.09869317400596;45.4583221194641;"(45.4583221194641, 9.09869317400596)"
10059;"Via Forze Armate, 333 dopo Via Palmi";"67,151";9.0984275022765;45.4600055405742;"(45.4600055405742, 9.0984275022765)"
10060;"Via Forze Armate, 328 prima di Via F.lli di Dio";"67,151";9.09784107658629;45.4601995647762;"(45.4601995647762, 9.09784107658629)"
10061;"Via Cividale del Friuli, 3 prima di Via Mar Nero";63;9.10141426849631;45.4588962960503;"(45.4588962960503, 9.10141426849631)"
10062;Via Cividale del Friuli dopo Via Forze Armate;63;9.10133592359732;45.4589578783935;"(45.4589578783935, 9.10133592359732)"
10063;Via Forze Armate fronte 312 prima di Via C. del Friuli;"67,151";9.1009911669795;45.4595487582971;"(45.4595487582971, 9.1009911669795)"
10064;"Via Forze Armate, 312 dopo Via Cancano";"67,151";9.10151225922436;45.4595858052194;"(45.4595858052194, 9.10151225922436)"
10065;"Via Forze Armate, 260 dopo Via Nikolajevka";"63,67,151";9.10476776502032;45.4596893844504;"(45.4596893844504, 9.10476776502032)"
10066;Via Forze Armate dopo Via Nikolajevka;"63,67,151";9.10590635527391;45.459823353261;"(45.459823353261, 9.10590635527391)"
10067;"Via Sella Nuova, 4 dopo Via Forze Armate";"63,151,433";9.10911730228126;45.4601167084015;"(45.4601167084015, 9.10911730228126)"
10068;"Via Sella Nuova, 11 prima di Via Forze Armate";"63,151,433";9.10945966269613;45.4598243434629;"(45.4598243434629, 9.10945966269613)"
10069;"Via Forze Armate, 234 prima di Via Barocco";67;9.10966105491335;45.4606027398674;"(45.4606027398674, 9.10966105491335)"
10070;"Via Forze Armate, 241 dopo Via Sella Nuova";67;9.10977191864701;45.4604812908474;"(45.4604812908474, 9.10977191864701)"
10071;"Via Caldera, 65";"80,423";9.09736346996657;45.4762982883657;"(45.4762982883657, 9.09736346996657)"
