numero_stazione,nome_stazione,anno,null_obs_ranking,nil,id_nil,municipio,longitudine,latitudine
227,Zavattari - Tempesta,2015,very_low,DE ANGELI - MONTE ROSA,58,7,9.14366193006109,45.47587495704799
229,QT8 - Isernia,2015,very_low,QT 8,66,8,9.137012946718757,45.48667220181463
232,De Angeli - R. Sanzio,2015,very_low,DE ANGELI - MONTE ROSA,58,7,9.150562886848883,45.46706353057626
233,Mac Mahon - Artieri,2015,very_low,VILLAPIZZONE - CAGNOLA - BOLDINASCO,71,8,9.154977357324555,45.49587768737185
235,Certosa - Monteceneri,2018,very_high,PORTELLO,67,8,9.15186566395088,45.48973830331797
236,Mac Mahon - Caracciolo,2015,very_low,GHISOLFA,70,8,9.161012126789663,45.49122130215151
237,Caneva - Tolentino,2015,very_low,GHISOLFA,70,8,9.160732630904361,45.48819189410647
238,Govone - Borgese,2015,very_low,GHISOLFA,70,8,9.168999627160714,45.488410117745005
239,Marussig - Castelvetro,2015,very_low,SARPI,69,8,9.166089000309636,45.48637906637643
241,Stuparich - Albani,2015,very_low,DE ANGELI - MONTE ROSA,58,8,9.144220664805479,45.48292086628227
248,Teodorico - Gattamelata,2015,very_low,PORTELLO,67,8,9.151537094286564,45.48445832985374
249,Vigliani - Scarampo,2015,very_low,DE ANGELI - MONTE ROSA,58,8,9.148235562555598,45.48246785380862
250,Castelli - Ailanti,2015,very_low,VILLAPIZZONE - CAGNOLA - BOLDINASCO,71,8,9.1521012402972,45.499451578380004
251,Villapizzone FFSS - Lambruschini,2015,very_low,BOVISA,77,9,9.152631498198657,45.5023805336848
252,Bovisa - Lambruschini,2015,very_low,BOVISA,77,9,9.158565479641519,45.50210695359017
253,Bovisa Passante 1 - Alfieri,2015,very_low,BOVISA,77,9,9.160787873303201,45.50274040064807
254,Bausan - Brofferio,2015,very_low,BOVISA,77,9,9.164807709907356,45.502653972369
255,Nigra - Castellini,2015,very_low,FARINI,78,9,9.170590821062273,45.49626265389929
256,Lancetti Passante - Maloja,2015,very_low,FARINI,78,9,9.176459044788894,45.49484289176747
257,Valtellina - Aprica,2015,very_low,ISOLA,11,9,9.182439757376377,45.49301023176412
258,Maciachini - Marche,2015,very_low,MACIACHINI - MAGGIOLINA,12,9,9.186905045606755,45.49806575110247
259,Amendola M1,2015,very_low,DE ANGELI - MONTE ROSA,58,8,9.151710936565717,45.473636854118055
260,Baldinucci - Maffucci,2015,very_low,BOVISA,77,9,9.169208450831796,45.50350169292918
261,Imbonati - Dergano M3,2015,very_low,DERGANO,79,9,9.179862939490935,45.505390109585235
262,Livigno - Monte San Genesio,2015,very_low,DERGANO,79,9,9.178449719620934,45.500157023153456
263,Castello,2015,low,DUOMO,1,1,9.1794501325661,45.46867593282608
264,Rio De Janeiro - Sarto,2016,average,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3,9.223625611402378,45.472590987654705
265,Arduino,2017,high,DE ANGELI - MONTE ROSA,58,8,9.151266185958026,45.4771175319412
266,Sauli - Battaglia,2018,very_high,LORETO - CASORETTO - NOLO,20,2,9.213300794189887,45.49107804534471
267,Sardegna - Sicilia,2018,very_high,PORTA MAGENTA,51,7,9.15282093502145,45.46382678208563
270,Stelvio - Farini,2015,very_low,ISOLA,11,9,9.184962599752463,45.49479276404717
280,Murat - Villani - Milano Sport,2015,very_low,MACIACHINI - MAGGIOLINA,12,9,9.190641598207055,45.49961272432957
281,Stefini - Ressi,2016,low,MACIACHINI - MAGGIOLINA,12,2,9.203000448492634,45.49682229569974
282,Dergano,2015,very_low,DERGANO,79,9,9.176923183343952,45.503165174958546
283,Reni - Guardi,2015,very_low,CITTA' STUDI,22,3,9.225892294950997,45.47064185138246
296,Gioia - Cassina de Pomm,2015,very_low,GRECO - SEGNANO,13,2,9.208140415769565,45.49666801750411
301,Toscana - Leoni,2015,very_low,PORTA VIGENTINA - PORTA LODOVICA,5,5,9.193685491650939,45.446152066589846
302,De Angeli - Ripamonti,2015,very_low,MORIVIONE,37,5,9.198376412585267,45.443321187979514
303,Benaco - Brembo,2016,low,LODI - CORVETTO,35,4,9.212012182746589,45.444367665102014
304,Adamello - Lorenzini,2015,very_low,SCALO ROMANA,36,5,9.203104543746488,45.443413458958155
305,Spadolini - Centro Leoni,2015,very_low,MORIVIONE,37,5,9.18966073021133,45.44309891514451
307,Piazzi - Bernina,2015,very_low,FARINI,78,9,9.181075233590587,45.494496052481196
309,Carlo Magno - Alcuino,2015,very_low,PORTELLO,67,8,9.155818453121435,45.4815012168721
310,Istria M5 - F. Testi,2015,very_low,MACIACHINI - MAGGIOLINA,12,2,9.198356942128772,45.501721251367876
311,De Marchi - Lucini,2016,low,GRECO - SEGNANO,13,2,9.208898037148474,45.500269158233685
312,De Marchi - Bottelli,2016,low,GRECO - SEGNANO,13,2,9.211346152794402,45.50336340525777
313,Ca Granda - F.Testi,2015,very_low,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,14,9,9.200018024656117,45.50670757150106
315,Ospedale Maggiore,2015,very_low,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,14,9,9.189669803752018,45.50844236138911
317,Alserio - Cola Montano,2016,low,ISOLA,11,9,9.18567547487253,45.491038551812544
318,Gioia - Carissimi,2015,very_low,MACIACHINI - MAGGIOLINA,12,2,9.202225986920514,45.49069387827717
319,Gioia - Cagliero,2016,low,STAZIONE CENTRALE - PONTE SEVESO,10,2,9.20594634036843,45.493580595857104
321,Piazzale Nizza,2015,very_low,MACIACHINI - MAGGIOLINA,12,9,9.1887727351742,45.50340532852261
322,Bicocca M5 - Pulci,2015,low,BICOCCA,15,9,9.20597147325402,45.5141619040369
323,Temolo - Innovazione,2015,low,BICOCCA,15,9,9.210741693677196,45.51136985988243
324,Staz. Greco Pirelli - Cozzi,2016,low,BICOCCA,15,9,9.213479029262798,45.51270849622365
325,Romolo M2,2015,very_low,PORTA TICINESE - CONCHETTA,44,6,9.167604907105668,45.4435437096955
326,Arcimboldi - Innovazione,2018,very_high,BICOCCA,15,9,9.213902989244088,45.51583185221287
327,Pirelli - UNI Bicocca,2016,low,BICOCCA,15,9,9.212875880338748,45.51860024176323
328,Bussero - F. Testi,2015,low,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,14,9,9.206946461021309,45.518755841825346
329,Chiese - F. Testi,2015,low,BICOCCA,15,9,9.210340412354954,45.52234598743702
330,Suzzani - Arezzo,2015,low,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,14,9,9.209384592357056,45.526870965986724
334,Molino Dorino M1,2015,average,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,65,8,9.094235956302764,45.50511191896288
383,Angilberto - Comacchio,2018,very_high,LODI - CORVETTO,35,4,9.217486110682321,45.43721398226514
402,San Babila Bis,2008,average,DUOMO,1,1,9.19725017347504,45.466266136493175
